card_found	card_status	pan_valid	expiry	amount_vs_daily	amount_vs_monthly	amount_vs_balance
found	BLOCKED	valid	expired	below	below	below
found	INACTIVE	valid	current_month	below	below	below
found	ACTIVE	valid	valid	equal	equal	above
found	INACTIVE	valid	valid	below	below	below
found	BLOCKED	valid	valid	below	below	below
found	ACTIVE	valid	current_month	above	below	above
found	EXPIRED	valid	expired	below	below	below
found	ACTIVE	valid	valid	below	above	equal
found	ACTIVE	valid	current_month	equal	below	equal
found	EXPIRED	valid	current_month	below	below	below
found	ACTIVE	valid	valid	above	above	below
found	ACTIVE	valid	expired	below	below	below
found	ACTIVE	valid	current_month	above	equal	equal
found	EXPIRED	valid	valid	below	below	below
found	BLOCKED	valid	current_month	below	below	below
found	ACTIVE	valid	valid	below	equal	below
found	ACTIVE	valid	current_month	below	above	above
not_found	ACTIVE	valid	valid	below	below	below
not_found	ACTIVE	invalid	valid	below	below	below
found	INACTIVE	valid	expired	below	below	below
found	ACTIVE	valid	valid	equal	above	below
