http_method	target	card_state	pan_format	body	numeric_value	query_params
GET	single_card	present_active	valid	valid	positive	valid
PATCH	single_card	absent	valid	valid	negative	valid
POST	collection	absent	valid	empty	positive	valid
GET	collection	present_active	valid	valid	positive	offset_negative
PATCH	single_card	present_active	valid	valid	zero	valid
PATCH	single_card	present_active	valid	empty	positive	valid
PATCH	single_card	present_active	wrong_length	valid	positive	valid
GET	collection	present_active	valid	valid	positive	status_unknown
PATCH	single_card	present_active	wrong_luhn	valid	positive	valid
POST	collection	absent	valid	unknown_field	positive	valid
POST	collection	absent	valid	valid	zero	valid
GET	single_card	absent	wrong_luhn	valid	positive	valid
GET	single_card	absent	wrong_length	valid	positive	valid
GET	collection	present_active	valid	valid	positive	limit_zero
PATCH	single_card	present_active	valid	unknown_field	positive	valid
POST	collection	absent	valid	valid	negative	valid
PATCH	single_card	present_active	valid	valid	negative	valid
